"location_id","sum"
1,880
2,3
3,282
4,24389
5,25
6,35
7,17138
8,114
9,174
10,4563
11,221
12,4484
13,105997
14,1144
15,185
16,284
17,2704
18,357
19,243
20,288
21,509
22,523
23,60
24,36971
25,10901
26,922
27,12
28,1314
29,500
30,4
31,108
32,459
33,11891
34,275
35,1327
36,1235
37,2228
38,217
39,1350
40,5694
41,51609
42,23021
43,177552
44,49
45,25526
46,43
47,446
48,408540
49,3274
50,117017
51,1073
52,6333
53,227
54,351
55,431
56,817
57,23
58,54
59,38
60,300
61,3492
62,1077
63,332
64,100
65,15072
66,6192
67,265
68,309754
69,1376
70,1731
71,835
72,1050
73,48
74,51879
75,91349
76,2277
77,491
78,582
79,340968
80,4558
81,373
82,3498
83,1288
84,5
85,640
86,320
87,85446
88,48736
89,2258
90,222990
91,1070
92,796
93,2001
94,245
95,2149
96,41
97,10576
98,207
99,2
100,253473
101,244
102,260
105,11
106,1294
107,284088
108,253
109,1
111,20
112,3995
113,190437
114,168923
115,29
116,15280
117,260
118,27
119,646
120,78
121,423
122,222
123,534
124,414
125,72716
126,347
127,1185
128,106
129,6080
130,1785
131,398
132,362432
133,729
134,950
135,593
136,596
137,151381
138,336617
139,345
140,212768
141,279042
142,363831
143,141471
144,125269
145,13240
146,10517
147,322
148,166672
149,464
150,199
151,105150
152,12866
153,308
154,59
155,574
156,17
157,705
158,129458
159,1242
160,341
161,516371
162,444510
163,329736
164,299265
165,744
166,70411
167,541
168,3002
169,571
170,377004
171,263
172,9
173,492
174,455
175,247
176,10
177,949
178,212
179,6149
180,228
181,10937
182,630
183,146
184,15
185,316
186,431721
187,2
188,2114
189,2582
190,671
191,693
192,179
193,7651
194,573
195,630
196,1112
197,995
198,515
199,1
200,315
201,60
202,610
203,457
205,927
206,25
207,326
208,351
209,25014
210,732
211,99776
212,533
213,940
214,17
215,1739
216,1910
217,1133
218,811
219,1138
220,664
221,27
222,538
223,5762
224,23876
225,1892
226,18652
227,369
228,995
229,226915
230,452894
231,206023
232,21307
233,164570
234,389268
235,881
236,439526
237,483888
238,231221
239,317381
240,88
241,348
242,774
243,2187
244,14091
245,17
246,191417
247,2018
248,305
249,249901
250,488
251,12
252,204
253,21
254,776
255,10400
256,8643
257,506
258,442
259,369
260,6137
261,70910
262,141058
263,223774
264,76990
265,5183
